bmc_sample_code,sample,run_code
D18-218186-lane4,c10_D05_lane4,lane4
D18-218186-lane5,c10_D05_lane5,lane5
D18-218186-lane6,c10_D05_lane6,lane6
D18-218187-lane3,b02_D06_lane3,lane3
D18-218187-lane4,b02_D06_lane4,lane4
D18-218187-lane5,b02_D06_lane5,lane5
D18-218187-lane6,b02_D06_lane6,lane6
D18-218188-lane3,c04_D06_lane3,lane3
D18-218188-lane4,c04_D06_lane4,lane4
D18-218188-lane5,c04_D06_lane5,lane5
D18-218188-lane6,c04_D06_lane6,lane6
D18-218189-lane3,a06_D07_lane3,lane3
D18-218189-lane4,a06_D07_lane4,lane4
D18-218189-lane5,a06_D07_lane5,lane5
D18-218189-lane6,a06_D07_lane6,lane6
D18-218190-lane3,b08_D07_lane3,lane3
D18-218190-lane4,b08_D07_lane4,lane4
D18-218190-lane5,b08_D07_lane5,lane5
D18-218190-lane6,b08_D07_lane6,lane6
D18-218191-lane3,c10_D07_lane3,lane3
D18-218191-lane4,c10_D07_lane4,lane4
D18-218191-lane5,c10_D07_lane5,lane5
D18-218191-lane6,c10_D07_lane6,lane6
D18-218192-lane3,b02_D08_lane3,lane3
D18-218192-lane4,b02_D08_lane4,lane4
D18-218192-lane5,b02_D08_lane5,lane5
D18-218192-lane6,b02_D08_lane6,lane6
D18-218193-lane3,b03_D08_lane3,lane3
D18-218193-lane4,b03_D08_lane4,lane4
D18-218193-lane5,b03_D08_lane5,lane5
